DM, 0.99470302173504832, SC, 0.0052814635876371665, SA, 1.5497872122467242e-05,RE, 0.47999269352943885, SC, 0.19274599737865755, ST, 0.1748856617741355
SA, 0.98904251461254655, SC, 0.010955467972817049, CH, 1.9494684769758668e-06,RE, 0.4904517602137981, ST, 0.18343612065613951, SC, 0.179913840880255
SA, 0.82521064779882047, SC, 0.17478544594445083, CH, 3.6992851597926741e-06,ST, 0.37502095826866905, RE, 0.3499909370454008, CK, 0.14697642127863339
SA, 0.99999999999324007, CH, 6.5179211995001099e-12, SC, 2.4073543449129272e-13,ST, 0.63638383213044825, RE, 0.17697812125479834, CK, 0.1127001238104421
SC, 0.94249056195994874, DM, 0.056869753787673165, SA, 0.00063967992046421221,RE, 0.60316245908766464, ST, 0.29024957402601603, CK, 0.04947437141242033
DM, 0.86220739144621283, SA, 0.1373866886984817, SC, 0.00040591862988963992,RE, 0.70564974456832064, ST, 0.23813386325940156, CK, 0.018041479507311779
SC, 0.92525611594039991, DM, 0.063022049428860638, SA, 0.011721665928969366,RE, 0.4009326069242129, ST, 0.37825854156022409, CK, 0.10077366675394783
DB, 0.98318580828430646, SC, 0.013141830006496113, DM, 0.0035563087428709152,ST, 0.28057909522703772, RE, 0.23747394543950048, SC, 0.21360754836272117
SA, 0.99999956016285585, CH, 2.2956750082950955e-07, SC, 2.1026719466446768e-07,HA, 0.44009828001710849, SC, 0.32080410166454326, ST, 0.18257783981349807
SA, 0.99997514680862831, SC, 2.453054637397802e-05, CH, 3.2197906110171469e-07,ST, 0.43757828651312691, RE, 0.31765830322762578, SC, 0.17320282971977388
SC, 0.99894592155781436, ST, 0.0010357210155577667, DM, 1.5893411148102179e-05,RE, 0.8451596221604627, CK, 0.07668843814226213, ST, 0.050509485080123991
DM, 0.94476443655469355, SC, 0.050219729339185407, SA, 0.0050151658696102877,ST, 0.55010639464624589, RE, 0.21428163040218734, CK, 0.12618035336663902
SA, 0.99592366999253779, SC, 0.0040747955046608062, CH, 1.5341519170780537e-06,CK, 0.3881673958591077, HA, 0.26104484726524207, ST, 0.23005944129460695
SC, 0.81865801497641388, DM, 0.17584810140558157, DB, 0.0054929256063375488,ST, 0.46658956298468834, HA, 0.29449903705602759, CK, 0.095091992958556248
SA, 0.99991520258893707, SC, 8.4749794440550587e-05, CH, 4.7119384117898142e-08,RE, 0.76318943479934775, ST, 0.10295617375082487, CK, 0.09565226681744568
SA, 0.99882801512980157, SC, 0.0011640847767922619, CH, 7.8982130342221493e-06,ST, 0.75428366080590847, RE, 0.14723719357987008, CK, 0.036371729953944609
SA, 0.99998184857198813, SC, 1.671080631672509e-05, DM, 1.4359389219565885e-06,ST, 0.39062634940561614, HA, 0.30201266945312916, SC, 0.16996465874713623
DM, 0.95961516348190912, SC, 0.040301736612612077, SA, 8.1820171682362675e-05,ST, 0.37169431441997591, HA, 0.31945734164438361, SC, 0.14824626487735917
SC, 0.99996392853856075, SA, 2.5466786373811445e-05, DM, 1.0604234591229999e-05,SC, 0.51891364134518958, HA, 0.27329759890195932, ST, 0.16103018236816949
SC, 0.99999999987853827, DM, 1.2011496870897491e-10, DB, 7.5179384714969007e-13,RE, 0.76436861364443276, ST, 0.16187469985019134, CK, 0.047420161308964787
SA, 0.9999998756144467, CH, 1.2295073691393603e-07, SC, 1.4243172006699287e-09,RE, 0.66850791719418201, SC, 0.2127288129139111, ST, 0.051702628040833899
SA, 0.72372315597519987, DM, 0.27612521140953927, SC, 0.0001514360795136414,SC, 0.406754525902982, ST, 0.28904213987274052, RE, 0.12715608635646786
DM, 0.96236113326951445, SC, 0.037625760066496754, SA, 1.3094069395239077e-05,ST, 0.43045387627822784, HA, 0.35570035805722783, SC, 0.15572711490208563
SC, 0.84058419473389212, DB, 0.096264668027673569, DM, 0.063151012014034502,ST, 0.4789730814950014, HA, 0.32014517671802789, SC, 0.074205234518270324
SA, 0.96685762257130636, SC, 0.033141417805219779, DM, 9.5672571843511023e-07,RE, 0.57818515217723809, ST, 0.31307580475813235, SC, 0.043356598591646374
SC, 0.93651534261801395, DM, 0.050161384600237849, DB, 0.013315207268726269,ST, 0.49887678129566437, SC, 0.16343668983286963, HA, 0.16278014639467908
